Country,ISO,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (% of GNI)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Afghanistan,AFG,"Secondary education, pupils",39.53390433,362415.0,41.41501294,406895.0,594306.0,651453.0,1006841.0,1035782.0,1425009.0,1716190.0,2044157.0,2208963.0,2415884.0,2538420.0,2602734.0,2651459.0,2725421.0,2899453.0,3063889.0,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Albania,ALB,Expense (% of GDP),39.53390433,68.41048,23.91375993,22.15052845,22.11084096,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,22.86390059,23.1453647,24.12157534,24.25764666,24.26860004,23.70201064,23.43816296,22.92932243,22.87839615,24.6048213,24.39829713,27.00315384,25.37554726
Albania,ALB,GDP (current US$),3584570165.0,4059064033.0,4515003117.0,5801712040.0,7406645793.0,8256658250.0,9150528132.0,11116937870.0,13258506375.0,12335540656.0,12086545641.0,12973755875.0,12246499748.0,12796985886.0,13296322588.0,11470171827.0,11988668785.0,13258268436.0,15379508330.0,15585111614.0,15241455556.0,18032009220.0,19017244117.0,23547180412.0
Albania,ALB,GDP growth (annual %),7.462858718,8.86373066,4.628395874,5.33326426,5.266261739,5.130821931,6.01898124,6.500092612,6.907062307,2.690751524,2.973154427,2.463516839,0.98412988,1.707228318,2.240226954,2.227704075,3.908935514,3.283175933,3.671419281,2.062577902,51.293871175,8.969576191,4.826696119,3.936616892
Albania,ALB,GDP per capita (current US$),1160.420471,1326.416524,1479.838846,1908.699007,2446.909499,2741.721365,3057.77257,3743.055299,4498.504868,4213.650076,4149.144699,4465.709143,4222.347099,4420.23462,4602.230514,3981.726623,4168.375445,4614.047969,5365.488802,5460.430509,5370.7775,6413.282808,6846.426694,8575.171346
Albania,ALB,GDP per capita growth (annual %),8.149967935,9.890193571,4.942622963,5.728105981,5.707123084,5.67025028,6.689981397,7.307982629,7.730561614,3.385115395,3.485648086,2.739532557,1.151044013,1.89373834,2.452131572,2.525830935,4.075198423,3.378211536,3.927525709,2.498299447,51.293871175,9.98433058,6.108947895,5.137123553
Albania,ALB,GNI per capita growth (annual %),9.380808487,10.60793835,3.634108505,6.201164033,6.869827594,4.209798589,7.608734516,8.097305436,6.619615662,1.768130517,2.725537801,2.242591487,0.44740875,4.175805152,2.400448632,3.488429862,4.857511191,2.676169701,3.790223624,1.311990332,51.293871175,10.43052925,7.856991692,7.289706845
Albania,ALB,Gross national expenditure (% of GDP),122.5483193,123.020313,125.6490932,124.4954543,121.9344339,124.230729,123.1847251,125.6502611,126.0832234,124.0321086,120.3126736,122.5900509,118.7468164,118.0118145,118.8845153,117.1408027,116.674914,114.7837902,113.4660614,113.5098315,114.4392144,113.3242448,110.3039275,105.163527
Albania,ALB,"Government expenditure on education, total (% of GDP)",3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,38.62202019,63.42638,37.305632779999996,3.178813107,3.295339869,3.539299965,3.181777346,3.437969923,3.962090015,3.611720085,3.082013704,3.870189905,3.325040102,3.005559921,2.729769945,3.091530085
Albania,ALB,Government Effectiveness: Percentile Rank,19.67213058,68.41048,30.27026939,35.13513565,44.27860641,29.90196037,34.14634323,41.26213455,42.71844482,48.80382919,44.01913834,48.3412323,44.54976273,44.07582855,53.36538315,54.2857132,55.23809433,57.61904907,55.23809433,49.04761887,48.09523773,50.95238113,56.13207626,60.37735748
